epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,9532.06,0.76669,0.56821,1.14641,0.82546,0.77797,0.82624,0.63796,0.9828,0.81266,1.49498,0.00538,0.00538,0.00538
72,9670.8,0.75481,0.55696,1.14529,0.85392,0.73681,0.81544,0.64013,0.9943,0.81635,1.51393,0.005314,0.005314,0.005314
73,9808.33,0.74945,0.55333,1.13983,0.84336,0.75069,0.82205,0.64519,0.96644,0.77882,1.48816,0.005248,0.005248,0.005248
74,9945.69,0.74616,0.55669,1.14083,0.87808,0.73182,0.82114,0.64356,0.9797,0.77515,1.50301,0.005182,0.005182,0.005182
75,10079.2,0.75621,0.55672,1.14555,0.86528,0.75115,0.82153,0.64406,0.99716,0.78449,1.52383,0.005116,0.005116,0.005116
76,10212.8,0.73575,0.54913,1.13566,0.81068,0.77543,0.81634,0.64246,0.98756,0.83432,1.52229,0.00505,0.00505,0.00505
77,10346.5,0.72947,0.53514,1.13036,0.82148,0.75876,0.8128,0.64247,0.98473,0.87911,1.527,0.004984,0.004984,0.004984
78,10482,0.71942,0.53215,1.12339,0.89102,0.73677,0.81237,0.64222,0.98344,0.8753,1.52888,0.004918,0.004918,0.004918
79,10617.2,0.71441,0.52705,1.12607,0.8279,0.75728,0.81216,0.64269,0.97061,0.84626,1.52879,0.004852,0.004852,0.004852
80,10750.9,0.71309,0.52182,1.128,0.8695,0.72723,0.81106,0.64777,0.97936,0.86522,1.54493,0.004786,0.004786,0.004786
81,10884.6,0.70721,0.51513,1.12288,0.8581,0.74154,0.81096,0.64644,0.97592,0.83109,1.55128,0.00472,0.00472,0.00472
82,11018.2,0.70822,0.51218,1.1169,0.85102,0.73727,0.81027,0.6432,0.97574,0.8302,1.55846,0.004654,0.004654,0.004654
83,11152.5,0.70376,0.5064,1.11251,0.87354,0.72868,0.80477,0.64016,0.98617,0.85188,1.57403,0.004588,0.004588,0.004588
84,11286.8,0.68904,0.5041,1.10586,0.86778,0.7209,0.8089,0.64021,1.00945,0.86185,1.59829,0.004522,0.004522,0.004522
85,11420.8,0.6873,0.50547,1.10171,0.87152,0.72292,0.81114,0.63725,1.00902,0.87082,1.6003,0.004456,0.004456,0.004456
86,11555,0.67692,0.48977,1.09492,0.87731,0.71567,0.80808,0.64254,1.00023,0.8666,1.57995,0.00439,0.00439,0.00439
87,11689.5,0.68186,0.48872,1.1023,0.88267,0.71339,0.80839,0.64378,0.99007,0.87997,1.57072,0.004324,0.004324,0.004324
88,11825.4,0.68049,0.48374,1.09193,0.79292,0.77442,0.80014,0.64202,0.99135,0.89659,1.56928,0.004258,0.004258,0.004258
89,11962,0.6688,0.4769,1.08711,0.79331,0.77709,0.8012,0.64404,0.99246,0.86554,1.5796,0.004192,0.004192,0.004192
90,12098.4,0.66665,0.46955,1.09241,0.79832,0.78494,0.79996,0.64461,0.98884,0.88038,1.5734,0.004126,0.004126,0.004126
91,12235.6,0.65863,0.47116,1.08791,0.81729,0.76727,0.79889,0.64331,0.9927,0.88324,1.58081,0.00406,0.00406,0.00406
92,12371.3,0.65465,0.46151,1.08024,0.83175,0.74384,0.80906,0.64575,0.99015,0.88254,1.58035,0.003994,0.003994,0.003994
93,12505.6,0.65045,0.47028,1.0719,0.87994,0.72883,0.80898,0.65061,0.98807,0.8997,1.58861,0.003928,0.003928,0.003928
94,12640.1,0.64727,0.45909,1.07613,0.87058,0.7289,0.81021,0.64924,0.97996,0.90429,1.57544,0.003862,0.003862,0.003862
95,12775.2,0.64477,0.46092,1.08505,0.86386,0.71857,0.7998,0.64661,0.97352,0.91496,1.57711,0.003796,0.003796,0.003796
96,12909.3,0.64033,0.45242,1.07038,0.81331,0.75503,0.80673,0.64615,0.97783,0.90366,1.58879,0.00373,0.00373,0.00373
97,13043.2,0.63038,0.44434,1.06939,0.80966,0.75869,0.8023,0.64613,0.98318,0.90765,1.59298,0.003664,0.003664,0.003664
98,13177.4,0.62172,0.44012,1.06576,0.81661,0.76002,0.79734,0.64501,0.97971,0.9212,1.59345,0.003598,0.003598,0.003598
99,13311.8,0.61911,0.43845,1.06304,0.81864,0.74864,0.79468,0.64452,0.98107,0.93051,1.59873,0.003532,0.003532,0.003532
100,13446.4,0.61725,0.43379,1.05757,0.82983,0.73329,0.79071,0.64349,0.98232,0.95176,1.6013,0.003466,0.003466,0.003466
101,13581.8,0.61941,0.43815,1.05916,0.85193,0.72931,0.79948,0.64807,0.97582,0.9442,1.59431,0.0034,0.0034,0.0034
102,13716.1,0.6116,0.43186,1.05541,0.86048,0.73476,0.81407,0.64902,0.9724,0.9386,1.59623,0.003334,0.003334,0.003334
103,13849.6,0.60697,0.42929,1.0533,0.86218,0.73595,0.81763,0.65035,0.97895,0.92767,1.61673,0.003268,0.003268,0.003268
104,13983.2,0.59692,0.41715,1.05176,0.85365,0.74383,0.81613,0.65026,0.97242,0.9111,1.6177,0.003202,0.003202,0.003202
105,14117.4,0.59882,0.41811,1.05032,0.85532,0.74381,0.81659,0.6519,0.96777,0.92091,1.62235,0.003136,0.003136,0.003136
106,14251.3,0.59697,0.41685,1.04679,0.86303,0.73827,0.81501,0.65439,0.96614,0.91652,1.62124,0.00307,0.00307,0.00307
107,14385.1,0.58524,0.40609,1.04278,0.86322,0.7376,0.81598,0.65533,0.96103,0.91853,1.61552,0.003004,0.003004,0.003004
108,14519,0.57446,0.402,1.03663,0.87235,0.73723,0.814,0.65458,0.95421,0.91574,1.60774,0.002938,0.002938,0.002938
109,14652.7,0.58019,0.40658,1.03852,0.87365,0.73573,0.81283,0.65282,0.95391,0.91832,1.60801,0.002872,0.002872,0.002872
110,14786.3,0.57062,0.39981,1.03612,0.86215,0.73867,0.81192,0.65245,0.95775,0.92989,1.60971,0.002806,0.002806,0.002806
111,14920.4,0.57291,0.39258,1.03251,0.85502,0.73639,0.81427,0.65165,0.95627,0.94122,1.60698,0.00274,0.00274,0.00274
112,15054.7,0.56769,0.3931,1.02924,0.82612,0.75902,0.81444,0.65308,0.95284,0.93304,1.60255,0.002674,0.002674,0.002674
113,15188.8,0.55996,0.38623,1.03219,0.8006,0.78134,0.81415,0.65271,0.95622,0.93875,1.60797,0.002608,0.002608,0.002608
114,15323.2,0.55286,0.38528,1.02623,0.78984,0.78782,0.81447,0.6532,0.95488,0.95008,1.61082,0.002542,0.002542,0.002542
115,15457.5,0.55615,0.37881,1.02566,0.81432,0.76154,0.81415,0.65529,0.9557,0.95507,1.61306,0.002476,0.002476,0.002476
116,15591.7,0.54118,0.37416,1.01824,0.81035,0.76907,0.81394,0.65472,0.95389,0.96622,1.61443,0.00241,0.00241,0.00241
